"a, ac, ad, af, ag, al, an, ap, as, at","to, toward, near, in addition to, by"
"a-, an-","not, without"
"ab, abs","away from, off"
"-able, -ible","Adjective: worth, ability"
"acer, acid, acri","bitter, sour, sharp"
"act, ag","do, act, drive"
acu,sharp
"-acy, -cy",Noun: state or quality
-ade,"act, product, sweet drink"
"aer, aero","air, atmosphere, aviation"
"ag, agi, ig, act","do, move, go"
-age,"Noun: activity, or result of action"
"agri, agro",pertaining to fields or soil
-al,"Noun: action, result of action"
"-al, -ial, -ical","Adjective: quality, relation"
"alb, albo","white, without pigment"
"ali, allo, alter",other
alt,"high, deep"
"am, ami, amor","love, like, liking"
ambi,both
ambul,to walk
-an,Noun: person
"ana, ano","up, back, again, anew"
"-ance, -ence","Noun: action, state, quality or process"
"-ancy, -ency","Noun: state, quality or capacity"
"andr, andro","male, characteristics of men"
ang,angular
anim,"mind, life, spirit, anger"
"ann, annu, enni",yearly
"-ant, -ent","Noun: an agent, something that performs the action"
"-ant, -ent, -ient","Adjective: kind of agent, indication"
ante,before
anthrop,man
"anti, ant","against, opposite"
"anti, antico",old
"apo, ap, aph","away from, detached, formed"
aqu,water
"-ar, -ary","Adjective: resembling, related to"
arch,"chief, first, rule"
"-ard, -art",Noun: characterized
"aster, astr",star
-ate,"Noun: state, office, fuction"
-ate,Verb: cause to be
-ate,Adjective: kind of state
-ation,"Noun: action, resulting state"
"auc, aug, aut","to originate, to increase"
"aud, audi, aur, aus","to hear, listen"
"aug, auc",increase
"aut, auto",self
bar,"weight, pressure"
be,"on, around, over, about, excessively, make, cause, name, affect"
belli,war
bene,"good, well, gentle"
"bi, bine",two
"bibl, bibli, biblio",book
"bio, bi",life
brev,short
"cad, cap, cas, ceiv, cept, capt, cid, cip","to take, to seize, to hold"
"cad, cas",to fall
-cade,procession
calor,heat
"capit, capt",head
carn,flesh
"cat, cata, cath","down, with"
"caus, caut","burn, heat"
"cause, cuse, cus","cause, motive"
"ceas, ced, cede, ceed, cess","to go, to yield, move, go, surrender"
cent,hundred
"centr, centri",center
chrom,color
chron,time
"cide, cis, cise","to kill, to cut, cut down"
circum,around
cit,"call, start"
civ,citizen
"clam, claim",cry out
clin,"lean, bend"
"clud, clus claus","to close, shut"
"co, cog, col, coll, con, com, cor","with, together"
"cogn, gnos",to know
"com, con",fully
"contr, contra, counter","against, opposite"
"cord, cor, cardi",heart
corp,body
cort,correct
cosm,"universe, world"
"cour, cur, curr, curs","run, course"
"crat, cracy",rule
"cre, cresc, cret, crease",grow
crea,create
cred,believe
"cresc, cret, crease, cru","rise, grow"
crit,"separate, choose"
"cur, curs",run
cura,care
"cycl, cyclo","wheel, circle, circular"
de-,"from, down, away, to do the opposite, reverse, against"
"dec, deca","ten, ten times"
"dec, dign",suitable
"dei, div",God
"dem, demo","people, populace, population"
"dent, dont",tooth
derm,"skin, covering"
"di-, dy-","two, twice, double"
dia,"through, across, between"
"dic, dict, dit","say, speak"
"dis, dif","not, opposite of, reverse, separate, deprive of, away"
dit,give
"doc, doct","teach, prove"
domin,"master, that which is under control"
don,give
dorm,sleep
dox,"thought, opinion, praise"
-drome,"run, step"
"duc, duct","to lead, pull"
dura,"hard, lasting"
dynam,power
dys-,"bad, abnormal, difficult, impaired, unfavorable"
e-,"not, missing, out, fully, away, computer network related"
ec-,"out of, outside"
eco-,"household, environment, relating to ecology or economy"
ecto-,"outside, external"
-ed,Verb: past tense
-ed,Adjective: having the quality or characteristics of
-en,Verb: to cause to become
-en,Adjective: material
"en-, em-","put into, make, provide with, surround with"
"-ence, -ency","Noun: action or process, quality or state"
end-,"inside, within"
epi-,"upon, close to, over, after, altered"
equi-,equal
"-er, -ier",Adjective: comparative
"-er, -or",Noun: person or thing that does something
"-er, -or",Verb: action
erg,"work, effect"
-ery,"collective qualities, art, practice, trade, collection, state, condition"
"-es, -ies","Noun: plural of most nouns ending in -ch, -s, -sh, -o and -z and some in -f and -y"
"-es, -ies","Verb: third person singular present indicative of verbs that end in -ch, -s, -sh, - and some in -y"
-ess,female
"-est, -iest",Adjective or Adverb: superlative
"ev-, et-","time, age"
ex-,"out of, away from, lacking, former"
"exter-, extra-, extro-","outside of, beyond"
"fa, fess",speak
"fac, fact, fec, fect, fic, fas, fea","do, make"
"fall, fals",deceive
femto,quadrillionth
fer,"bear, carry"
"fic, feign, fain, fit, feat","shape, make, fashion"
fid,"belief, faith"
"fid, fide, feder","faith, trust"
fig,"shape, form"
"fila, fili",thread
fin,"end, ended, finished"
fix,"repair, attach"
"flex, flect",bend
flict,strike
"flu, fluc, fluv, flux",flow
-fold,"Adverb: in a manner of, marked by"
"for, fore",before
"forc, fort","strength, strong"
form,"shape, resemble"
"fract, frag, frai",break
fuge,flee
-ful,Noun: an amount or quanity that fills
-ful,"Adjective: having, giving, marked by"
fuse,pour
-fy,"make, form into"
gam,marriage
"gastr, gastro",stomach
gen,kind
gen,"birth, race, produce"
geo,earth
germ,vital part
gest,"carry, bear"
giga,billion
gin,careful
"gloss, glot",tongue
"glu, glo","lump, bond, glue"
gor,"to gather, to bring together"
"grad, gress, gree","to gather, to bring together, step, go"
"graph, gram, graf","write, written, draw"
grat,pleasing
grav,"heavy, weighty"
greg,herd
"hale, heal","make whole, sound"
